x,y
29,0.6
70,0.6
109,0.6
150,0.6
191,0.6
232,0.6
273,0.6
314,0.6
355,0.6
396,0.6
423,0.6
446,0.6
468,0.6
489,0.6
510,0.6
531,0.6
552,0.6
573,0.6
594,0.6
615,0.6
636,0.6
657,0.6
678,0.6
699,0.6
720,0.6
741,0.6
762,0.6
783,0.6
804,0.6
825,0.6
846,0.6
867,0.6
888,0.6
909,0.6
930,0.6
951,0.6
1012,0.6
1090,0.6
1167,0.6
1245,0.6
1323,0.6
1401,0.6
1479,0.6
1557,0.6
1711,0.6
1781,0.6
1793,0.6
1804,0.6
1816,0.6
1827,0.6
1839,0.6
1850,0.6
1862,0.6
1873,0.6
1885,0.6
1896,0.6
1908,0.6
1919,0.6
1931,0.6
1942,0.6
1954,0.6
1965,0.6
1979,0.6
1990,0.6
2002,0.6
2013,0.6
2025,0.6
2036,0.6
2048,0.6
2070,0.6
2091,0.6
2204,0.6
2349,0.6
2432,0.6
2658,0.6
2732,0.6
2808,0.6
2920,0.6
2931,0.6
2942,0.6
2953,0.6
2964,0.6
2975,0.6
2986,0.6
2997,0.6
3008,0.6
3019,0.6
3030,0.6
3041,0.6
3052,0.6
3063,0.6
3074,0.6
3085,0.6
3096,0.6
3107,0.6
3118,0.6
3129,0.6
3140,0.6
3151,0.6
3162,0.6
3173,0.6
3184,0.6
3195,0.6
