x,y
6,0.4
14,0.4
22,0.4
31,0.4
39,0.4
47,0.4
55,0.4
63,0.4
72,0.4
80,0.4
88,0.4
96,0.4
104,0.4
113,0.4
121,0.4
129,0.4
137,0.4
145,0.4
154,0.4
162,0.4
170,0.4
178,0.4
186,0.4
195,0.4
203,0.4
209,0.4
217,0.4
225,0.4
236,0.4
244,0.4
252,0.4
260,0.4
266,0.4
275,0.4
283,0.4
291,0.4
299,0.4
307,0.4
316,0.4
324,0.4
332,0.4
340,0.4
348,0.4
357,0.4
365,0.4
373,0.4
381,0.4
389,0.4
398,0.4
406,0.4
412,0.4
416,0.4
420,0.4
425,0.4
429,0.4
433,0.4
437,0.4
441,0.4
445,0.4
450,0.4
454,0.4
458,0.4
462,0.4
466,0.4
471,0.4
475,0.4
479,0.4
483,0.4
487,0.4
492,0.4
496,0.4
500,0.4
504,0.4
508,0.4
513,0.4
517,0.4
521,0.4
525,0.4
529,0.4
534,0.4
538,0.4
542,0.4
546,0.4
550,0.4
555,0.4
559,0.4
563,0.4
567,0.4
571,0.4
576,0.4
580,0.4
584,0.4
588,0.4
592,0.4
597,0.4
601,0.4
605,0.4
609,0.4
613,0.4
618,0.4
622,0.4
626,0.4
630,0.4
634,0.4
639,0.4
643,0.4
647,0.4
651,0.4
655,0.4
660,0.4
664,0.4
668,0.4
672,0.4
676,0.4
681,0.4
685,0.4
689,0.4
693,0.4
697,0.4
702,0.4
706,0.4
710,0.4
714,0.4
718,0.4
723,0.4
727,0.4
731,0.4
735,0.4
739,0.4
744,0.4
748,0.4
752,0.4
756,0.4
760,0.4
765,0.4
769,0.4
773,0.4
777,0.4
781,0.4
786,0.4
790,0.4
794,0.4
798,0.4
802,0.4
807,0.4
811,0.4
815,0.4
819,0.4
823,0.4
828,0.4
832,0.4
836,0.4
840,0.4
844,0.4
849,0.4
853,0.4
857,0.4
861,0.4
865,0.4
870,0.4
874,0.4
878,0.4
882,0.4
886,0.4
891,0.4
895,0.4
899,0.4
903,0.4
907,0.4
912,0.4
916,0.4
920,0.4
924,0.4
928,0.4
933,0.4
937,0.4
941,0.4
945,0.4
949,0.4
954,0.4
1015,0.4
1060,0.4
1078,0.4
1097,0.4
1108,0.4
1123,0.4
1137,0.4
1154,0.4
1169,0.4
1200,0.4
1215,0.4
1231,0.4
1260,0.4
1278,0.4
1309,0.4
1325,0.4
