x,y
5,0.2
13,0.2
21,0.2
30,0.2
38,0.2
46,0.2
54,0.2
62,0.2
71,0.2
79,0.2
87,0.2
95,0.2
103,0.2
112,0.2
120,0.2
128,0.2
136,0.2
144,0.2
153,0.2
161,0.2
169,0.2
177,0.2
185,0.2
194,0.2
202,0.2
208,0.2
216,0.2
224,0.2
235,0.2
243,0.2
251,0.2
259,0.2
265,0.2
274,0.2
282,0.2
290,0.2
298,0.2
306,0.2
315,0.2
323,0.2
331,0.2
339,0.2
347,0.2
356,0.2
364,0.2
372,0.2
380,0.2
388,0.2
397,0.2
405,0.2
411,0.2
415,0.2
419,0.2
424,0.2
428,0.2
432,0.2
436,0.2
440,0.2
444,0.2
449,0.2
453,0.2
457,0.2
461,0.2
465,0.2
470,0.2
474,0.2
478,0.2
482,0.2
486,0.2
491,0.2
495,0.2
499,0.2
503,0.2
507,0.2
512,0.2
516,0.2
520,0.2
524,0.2
528,0.2
533,0.2
537,0.2
541,0.2
545,0.2
549,0.2
554,0.2
558,0.2
562,0.2
566,0.2
570,0.2
575,0.2
579,0.2
583,0.2
587,0.2
591,0.2
596,0.2
600,0.2
604,0.2
608,0.2
612,0.2
617,0.2
621,0.2
625,0.2
629,0.2
633,0.2
638,0.2
642,0.2
646,0.2
650,0.2
654,0.2
659,0.2
663,0.2
667,0.2
671,0.2
675,0.2
680,0.2
684,0.2
688,0.2
692,0.2
696,0.2
701,0.2
705,0.2
709,0.2
713,0.2
717,0.2
722,0.2
726,0.2
730,0.2
734,0.2
738,0.2
743,0.2
747,0.2
751,0.2
755,0.2
759,0.2
764,0.2
768,0.2
772,0.2
776,0.2
780,0.2
785,0.2
789,0.2
793,0.2
797,0.2
801,0.2
806,0.2
810,0.2
814,0.2
818,0.2
822,0.2
827,0.2
831,0.2
835,0.2
839,0.2
843,0.2
848,0.2
852,0.2
856,0.2
860,0.2
864,0.2
869,0.2
873,0.2
877,0.2
881,0.2
885,0.2
890,0.2
894,0.2
898,0.2
902,0.2
906,0.2
911,0.2
915,0.2
919,0.2
923,0.2
927,0.2
932,0.2
936,0.2
940,0.2
944,0.2
948,0.2
953,0.2
1014,0.2
1050,0.2
1059,0.2
1077,0.2
1096,0.2
1107,0.2
1122,0.2
1136,0.2
1153,0.2
1168,0.2
1199,0.2
1214,0.2
1230,0.2
1259,0.2
1277,0.2
1308,0.2
1324,0.2
1337,0.2
1355,0.2
1369,0.2
1402,0.2
1416,0.2
1432,0.2
1448,0.2
1463,0.2
1480,0.2
1495,0.2
1512,0.2
1527,0.2
1558,0.2
1577,0.2
1594,0.2
1603,0.2
1633,0.2
1647,0.2
1666,0.2
1694,0.2
1711,0.2
1757,0.2
1772,0.2
1782,0.2
1784,0.2
1786,0.2
1788,0.2
1791,0.2
1794,0.2
1796,0.2
1798,0.2
1800,0.2
1802,0.2
1805,0.2
1807,0.2
1809,0.2
1811,0.2
1814,0.2
1817,0.2
1819,0.2
1821,0.2
1823,0.2
1825,0.2
1828,0.2
1830,0.2
1832,0.2
1834,0.2
1837,0.2
1840,0.2
1842,0.2
1844,0.2
1846,0.2
1848,0.2
1851,0.2
1853,0.2
1855,0.2
1857,0.2
1860,0.2
1863,0.2
1865,0.2
1867,0.2
1869,0.2
1871,0.2
1874,0.2
1876,0.2
1878,0.2
1880,0.2
1883,0.2
1886,0.2
1888,0.2
1890,0.2
1892,0.2
1894,0.2
1897,0.2
1899,0.2
1901,0.2
1904,0.2
1906,0.2
1909,0.2
1911,0.2
1913,0.2
1915,0.2
1917,0.2
1920,0.2
1922,0.2
1924,0.2
1927,0.2
1929,0.2
1932,0.2
1934,0.2
1936,0.2
1938,0.2
1940,0.2
1943,0.2
1945,0.2
1947,0.2
1950,0.2
1952,0.2
1955,0.2
1957,0.2
1959,0.2
1961,0.2
1963,0.2
1966,0.2
1968,0.2
1970,0.2
1973,0.2
1975,0.2
1977,0.2
1980,0.2
1982,0.2
1984,0.2
1986,0.2
1988,0.2
1991,0.2
1993,0.2
1996,0.2
1998,0.2
2000,0.2
2003,0.2
2005,0.2
2007,0.2
2009,0.2
2011,0.2
2014,0.2
2016,0.2
2019,0.2
2021,0.2
2023,0.2
2026,0.2
2028,0.2
2030,0.2
2032,0.2
2034,0.2
2037,0.2
2039,0.2
2042,0.2
2044,0.2
2046,0.2
2051,0.2
2055,0.2
2059,0.2
2063,0.2
2067,0.2
2072,0.2
2076,0.2
2081,0.2
2085,0.2
2089,0.2
2094,0.2
2098,0.2
2102,0.2
2106,0.2
2164,0.2
2179,0.2
2196,0.2
2228,0.2
2234,0.2
2258,0.2
2265,0.2
2296,0.2
2318,0.2
2329,0.2
2349,0.2
2359,0.2
2402,0.2
2491,0.2
2510,0.2
2526,0.2
2536,0.2
2560,0.2
2573,0.2
2605,0.2
2619,0.2
2634,0.2
2642,0.2
2664,0.2
2672,0.2
2694,0.2
2704,0.2
2724,0.2
2739,0.2
2757,0.2
2770,0.2
2801,0.2
2809,0.2
2832,0.2
2839,0.2
2862,0.2
2906,0.2
2914,0.2
2916,0.2
2918,0.2
