x,y
0,1.1
1,1.1
3,1.1
4,1.1
8,1.1
9,1.1
11,1.1
12,1.1
16,1.1
17,1.1
19,1.1
20,1.1
24,1.1
25,1.1
27,1.1
28,1.1
33,1.1
34,1.1
36,1.1
37,1.1
41,1.1
42,1.1
44,1.1
45,1.1
49,1.1
50,1.1
52,1.1
53,1.1
57,1.1
58,1.1
60,1.1
61,1.1
65,1.1
66,1.1
68,1.1
69,1.1
74,1.1
75,1.1
77,1.1
78,1.1
82,1.1
83,1.1
85,1.1
86,1.1
90,1.1
91,1.1
93,1.1
94,1.1
98,1.1
99,1.1
101,1.1
102,1.1
106,1.1
107,1.1
110,1.1
111,1.1
115,1.1
116,1.1
118,1.1
119,1.1
123,1.1
124,1.1
126,1.1
127,1.1
131,1.1
132,1.1
134,1.1
135,1.1
139,1.1
140,1.1
142,1.1
143,1.1
147,1.1
148,1.1
151,1.1
152,1.1
156,1.1
157,1.1
159,1.1
160,1.1
164,1.1
165,1.1
167,1.1
168,1.1
172,1.1
173,1.1
175,1.1
176,1.1
181,1.1
182,1.1
183,1.1
184,1.1
188,1.1
189,1.1
192,1.1
193,1.1
197,1.1
198,1.1
200,1.1
201,1.1
205,1.1
206,1.1
211,1.1
212,1.1
213,1.1
214,1.1
219,1.1
220,1.1
221,1.1
222,1.1
227,1.1
228,1.1
229,1.1
230,1.1
233,1.1
234,1.1
239,1.1
240,1.1
241,1.1
242,1.1
247,1.1
248,1.1
249,1.1
250,1.1
255,1.1
256,1.1
257,1.1
258,1.1
263,1.1
264,1.1
268,1.1
269,1.1
271,1.1
272,1.1
277,1.1
278,1.1
279,1.1
280,1.1
285,1.1
286,1.1
287,1.1
288,1.1
293,1.1
294,1.1
296,1.1
297,1.1
301,1.1
302,1.1
304,1.1
305,1.1
309,1.1
310,1.1
312,1.1
313,1.1
318,1.1
319,1.1
321,1.1
322,1.1
326,1.1
327,1.1
329,1.1
330,1.1
334,1.1
335,1.1
337,1.1
338,1.1
342,1.1
343,1.1
345,1.1
346,1.1
350,1.1
351,1.1
353,1.1
354,1.1
359,1.1
360,1.1
362,1.1
363,1.1
367,1.1
368,1.1
370,1.1
371,1.1
375,1.1
376,1.1
378,1.1
379,1.1
383,1.1
384,1.1
386,1.1
387,1.1
391,1.1
392,1.1
394,1.1
395,1.1
400,1.1
401,1.1
403,1.1
404,1.1
408,1.1
409,1.1
979,1.1
1016,1.1
1024,1.1
1031,1.1
1038,1.1
1045,1.1
1052,1.1
1061,1.1
1070,1.1
1079,1.1
1083,1.1
1091,1.1
1098,1.1
1109,1.1
1115,1.1
1124,1.1
1130,1.1
1138,1.1
1147,1.1
1155,1.1
1161,1.1
1170,1.1
1176,1.1
1183,1.1
1189,1.1
1201,1.1
1207,1.1
1216,1.1
1223,1.1
1232,1.1
1238,1.1
1246,1.1
1252,1.1
1261,1.1
1270,1.1
1279,1.1
1285,1.1
1292,1.1
1300,1.1
1310,1.1
1317,1.1
1326,1.1
1331,1.1
1339,1.1
1348,1.1
1357,1.1
1363,1.1
1371,1.1
1377,1.1
1384,1.1
1391,1.1
1404,1.1
1409,1.1
1418,1.1
1425,1.1
1434,1.1
1442,1.1
1450,1.1
1456,1.1
1465,1.1
1471,1.1
1482,1.1
1487,1.1
1497,1.1
1504,1.1
1514,1.1
1520,1.1
1529,1.1
1537,1.1
1543,1.1
1549,1.1
1560,1.1
1565,1.1
1572,1.1
1581,1.1
1587,1.1
1594,1.1
1605,1.1
1611,1.1
1617,1.1
1623,1.1
1635,1.1
1641,1.1
1649,1.1
1655,1.1
1661,1.1
1671,1.1
1678,1.1
1687,1.1
1696,1.1
1705,1.1
1713,1.1
1718,1.1
1725,1.1
1733,1.1
1741,1.1
1747,1.1
1759,1.1
1765,1.1
1774,1.1
2130,1.1
2166,1.1
2173,1.1
2181,1.1
2190,1.1
2198,1.1
2205,1.1
2214,1.1
2222,1.1
2228,1.1
2236,1.1
2245,1.1
2251,1.1
2258,1.1
2267,1.1
2276,1.1
2282,1.1
2289,1.1
2298,1.1
2307,1.1
2313,1.1
2320,1.1
2331,1.1
2337,1.1
2343,1.1
2350,1.1
2361,1.1
2367,1.1
2375,1.1
2381,1.1
2388,1.1
2395,1.1
2404,1.1
2413,1.1
2419,1.1
2426,1.1
2432,1.1
2439,1.1
2446,1.1
2452,1.1
2459,1.1
2468,1.1
2475,1.1
2482,1.1
2494,1.1
2500,1.1
2505,1.1
2514,1.1
2521,1.1
2530,1.1
2539,1.1
2547,1.1
2553,1.1
2560,1.1
2567,1.1
2576,1.1
2584,1.1
2591,1.1
2598,1.1
2606,1.1
2613,1.1
2621,1.1
2628,1.1
2636,1.1
2645,1.1
2652,1.1
2658,1.1
2665,1.1
2675,1.1
2682,1.1
2688,1.1
2696,1.1
2704,1.1
2706,1.1
2712,1.1
2718,1.1
2726,1.1
2733,1.1
2741,1.1
2750,1.1
2758,1.1
2764,1.1
2772,1.1
2781,1.1
2788,1.1
2795,1.1
2802,1.1
2811,1.1
2819,1.1
2825,1.1
2833,1.1
2841,1.1
2850,1.1
2857,1.1
2865,1.1
2871,1.1
2879,1.1
2887,1.1
2893,1.1
2900,1.1
2908,1.1
