[3159]: {'stabilizer.yaw': -0.0014933290658518672, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7461.0, 'hotpatch.measure_time': 2133478.0}
[3169]: {'stabilizer.yaw': -0.0028994681779295206, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7596.0, 'hotpatch.measure_time': 2172421.0}
[3179]: {'stabilizer.yaw': -0.003452615113928914, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7742.0, 'hotpatch.measure_time': 2214343.0}
[3189]: {'stabilizer.yaw': -0.0037771756760776043, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7883.0, 'hotpatch.measure_time': 2254973.0}
[3199]: {'stabilizer.yaw': -0.0036766519770026207, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8023.0, 'hotpatch.measure_time': 2295304.0}
[3209]: {'stabilizer.yaw': -0.004296601749956608, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8193.0, 'hotpatch.measure_time': 2344281.0}
[3219]: {'stabilizer.yaw': -0.005583686754107475, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8372.0, 'hotpatch.measure_time': 2395829.0}
[3229]: {'stabilizer.yaw': -0.006050216965377331, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8526.0, 'hotpatch.measure_time': 2440161.0}
[3239]: {'stabilizer.yaw': -0.004649290814995766, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8699.0, 'hotpatch.measure_time': 2489833.0}
[3249]: {'stabilizer.yaw': -0.003983570262789726, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8854.0, 'hotpatch.measure_time': 2534437.0}
[3259]: {'stabilizer.yaw': -0.0040283347479999065, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9000.0, 'hotpatch.measure_time': 2576626.0}
[3269]: {'stabilizer.yaw': -0.004804642871022224, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9184.0, 'hotpatch.measure_time': 2629697.0}
[3279]: {'stabilizer.yaw': -0.005534874275326729, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9356.0, 'hotpatch.measure_time': 2679312.0}
[3289]: {'stabilizer.yaw': -0.005678841844201088, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9523.0, 'hotpatch.measure_time': 2727462.0}
[3299]: {'stabilizer.yaw': -0.005366108845919371, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 9696.0, 'hotpatch.measure_time': 2776620.0}
