[3150]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 206.0, 'hotpatch.context_switches': 7307.0, 'hotpatch.measure_time': 2087639.0}
[3160]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7496.0, 'hotpatch.measure_time': 2141238.0}
[3170]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7674.0, 'hotpatch.measure_time': 2191821.0}
[3180]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7860.0, 'hotpatch.measure_time': 2244765.0}
[3190]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 8045.0, 'hotpatch.measure_time': 2297481.0}
[3200]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 8209.0, 'hotpatch.measure_time': 2344030.0}
[3210]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8386.0, 'hotpatch.measure_time': 2394399.0}
[3220]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8566.0, 'hotpatch.measure_time': 2445603.0}
[3230]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8749.0, 'hotpatch.measure_time': 2497811.0}
[3240]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8935.0, 'hotpatch.measure_time': 2551016.0}
[3250]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 9102.0, 'hotpatch.measure_time': 2598816.0}
[3260]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9282.0, 'hotpatch.measure_time': 2650406.0}
[3270]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9429.0, 'hotpatch.measure_time': 2692329.0}
[3280]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9604.0, 'hotpatch.measure_time': 2742421.0}
[3290]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9781.0, 'hotpatch.measure_time': 2793044.0}
[3300]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9969.0, 'hotpatch.measure_time': 2846884.0}
[3310]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 10154.0, 'hotpatch.measure_time': 2899781.0}
[3320]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10339.0, 'hotpatch.measure_time': 2952436.0}
[3330]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10524.0, 'hotpatch.measure_time': 3005385.0}
[3340]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 10702.0, 'hotpatch.measure_time': 3056379.0}
[3350]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10871.0, 'hotpatch.measure_time': 3104446.0}
[3360]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 11056.0, 'hotpatch.measure_time': 3157140.0}
[3370]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 11203.0, 'hotpatch.measure_time': 3199062.0}
[3380]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 11342.0, 'hotpatch.measure_time': 3238577.0}
[3390]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 11496.0, 'hotpatch.measure_time': 3282054.0}
[3400]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 231.0, 'hotpatch.context_switches': 11676.0, 'hotpatch.measure_time': 3333299.0}
[3410]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 232.0, 'hotpatch.context_switches': 11785.0, 'hotpatch.measure_time': 3364261.0}
[3420]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 233.0, 'hotpatch.context_switches': 11875.0, 'hotpatch.measure_time': 3389722.0}
[3430]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 11961.0, 'hotpatch.measure_time': 3413806.0}
[3440]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 12047.0, 'hotpatch.measure_time': 3438275.0}
[3450]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 12136.0, 'hotpatch.measure_time': 3463217.0}
[3460]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': 0.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 12224.0, 'hotpatch.measure_time': 3487852.0}
[3470]: {'stabilizer.yaw': 0.0, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 12318.0, 'hotpatch.measure_time': 3514235.0}
[3480]: {'stabilizer.yaw': -0.0005658846348524094, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 12409.0, 'hotpatch.measure_time': 3540386.0}
[3490]: {'stabilizer.yaw': -0.00024336982460226864, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12501.0, 'hotpatch.measure_time': 3566774.0}
[3500]: {'stabilizer.yaw': -0.000542853435035795, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12596.0, 'hotpatch.measure_time': 3594039.0}
[3510]: {'stabilizer.yaw': -0.0010418869787827134, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12688.0, 'hotpatch.measure_time': 3620424.0}
[3520]: {'stabilizer.yaw': -0.00029333183192647994, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 12783.0, 'hotpatch.measure_time': 3647630.0}
[3530]: {'stabilizer.yaw': -0.00038935086922720075, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 244.0, 'hotpatch.context_switches': 12874.0, 'hotpatch.measure_time': 3673743.0}
[3540]: {'stabilizer.yaw': -0.0010942962253466249, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 245.0, 'hotpatch.context_switches': 12967.0, 'hotpatch.measure_time': 3700431.0}
[3550]: {'stabilizer.yaw': -0.00010401360486866906, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 246.0, 'hotpatch.context_switches': 13058.0, 'hotpatch.measure_time': 3726544.0}
[3560]: {'stabilizer.yaw': 6.181297794682905e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 247.0, 'hotpatch.context_switches': 13151.0, 'hotpatch.measure_time': 3753250.0}
[3570]: {'stabilizer.yaw': 0.00020567326282616705, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 248.0, 'hotpatch.context_switches': 13242.0, 'hotpatch.measure_time': 3779336.0}
[3580]: {'stabilizer.yaw': 0.000657363620121032, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 249.0, 'hotpatch.context_switches': 13335.0, 'hotpatch.measure_time': 3805975.0}
[3590]: {'stabilizer.yaw': 0.0005200805026106536, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 250.0, 'hotpatch.context_switches': 13426.0, 'hotpatch.measure_time': 3832006.0}
[3600]: {'stabilizer.yaw': 0.000685954699292779, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 251.0, 'hotpatch.context_switches': 13521.0, 'hotpatch.measure_time': 3859188.0}
[3610]: {'stabilizer.yaw': 0.00061410031048581, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 252.0, 'hotpatch.context_switches': 13612.0, 'hotpatch.measure_time': 3885285.0}
[3620]: {'stabilizer.yaw': 0.00032944988925009966, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 253.0, 'hotpatch.context_switches': 13702.0, 'hotpatch.measure_time': 3911162.0}
[3630]: {'stabilizer.yaw': 0.0007192178163677454, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 254.0, 'hotpatch.context_switches': 13790.0, 'hotpatch.measure_time': 3936454.0}
[3640]: {'stabilizer.yaw': 6.310233584372327e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 256.0, 'hotpatch.context_switches': 13881.0, 'hotpatch.measure_time': 3962833.0}
[3650]: {'stabilizer.yaw': 0.00019624890410341322, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 257.0, 'hotpatch.context_switches': 13970.0, 'hotpatch.measure_time': 3988396.0}
[3660]: {'stabilizer.yaw': 0.000375761475879699, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 258.0, 'hotpatch.context_switches': 14063.0, 'hotpatch.measure_time': 4015113.0}
[3670]: {'stabilizer.yaw': -8.072521450230852e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 259.0, 'hotpatch.context_switches': 14154.0, 'hotpatch.measure_time': 4041363.0}
[3680]: {'stabilizer.yaw': 0.0002585065085440874, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 260.0, 'hotpatch.context_switches': 14247.0, 'hotpatch.measure_time': 4068309.0}
[3690]: {'stabilizer.yaw': 0.0010563660180196166, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 261.0, 'hotpatch.context_switches': 14339.0, 'hotpatch.measure_time': 4094939.0}
[3700]: {'stabilizer.yaw': 0.0005352639709599316, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 262.0, 'hotpatch.context_switches': 14435.0, 'hotpatch.measure_time': 4122726.0}
[3710]: {'stabilizer.yaw': 0.0006500959862023592, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 263.0, 'hotpatch.context_switches': 14527.0, 'hotpatch.measure_time': 4149360.0}
[3720]: {'stabilizer.yaw': 0.0011772013967856765, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 264.0, 'hotpatch.context_switches': 14620.0, 'hotpatch.measure_time': 4176035.0}
[3730]: {'stabilizer.yaw': 0.0019344693282619119, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 265.0, 'hotpatch.context_switches': 14711.0, 'hotpatch.measure_time': 4202384.0}
[3740]: {'stabilizer.yaw': 0.001751614734530449, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 266.0, 'hotpatch.context_switches': 14804.0, 'hotpatch.measure_time': 4229319.0}
[3750]: {'stabilizer.yaw': 0.0015340035315603018, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 267.0, 'hotpatch.context_switches': 14895.0, 'hotpatch.measure_time': 4255670.0}
[3760]: {'stabilizer.yaw': 0.001444222405552864, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 268.0, 'hotpatch.context_switches': 14988.0, 'hotpatch.measure_time': 4282611.0}
[3770]: {'stabilizer.yaw': 0.002169559709727764, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 269.0, 'hotpatch.context_switches': 15079.0, 'hotpatch.measure_time': 4308923.0}
[3780]: {'stabilizer.yaw': 0.0025477344170212746, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 270.0, 'hotpatch.context_switches': 15172.0, 'hotpatch.measure_time': 4335801.0}
[3790]: {'stabilizer.yaw': 0.0012154967989772558, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 271.0, 'hotpatch.context_switches': 15263.0, 'hotpatch.measure_time': 4362073.0}
[3800]: {'stabilizer.yaw': 0.0026311876717954874, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 272.0, 'hotpatch.context_switches': 15358.0, 'hotpatch.measure_time': 4389466.0}
[3810]: {'stabilizer.yaw': 0.0025550147984176874, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 273.0, 'hotpatch.context_switches': 15450.0, 'hotpatch.measure_time': 4415994.0}
[3820]: {'stabilizer.yaw': 0.0030524793546646833, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 274.0, 'hotpatch.context_switches': 15540.0, 'hotpatch.measure_time': 4442051.0}
[3830]: {'stabilizer.yaw': 0.002792859449982643, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 275.0, 'hotpatch.context_switches': 15628.0, 'hotpatch.measure_time': 4467536.0}
[3840]: {'stabilizer.yaw': 0.00399419479072094, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 276.0, 'hotpatch.context_switches': 15721.0, 'hotpatch.measure_time': 4494193.0}
[3850]: {'stabilizer.yaw': 0.004338371567428112, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 277.0, 'hotpatch.context_switches': 15810.0, 'hotpatch.measure_time': 4519717.0}
[3860]: {'stabilizer.yaw': 0.003434702754020691, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 278.0, 'hotpatch.context_switches': 15903.0, 'hotpatch.measure_time': 4546587.0}
[3870]: {'stabilizer.yaw': 0.003855954622849822, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 279.0, 'hotpatch.context_switches': 15994.0, 'hotpatch.measure_time': 4572862.0}
[3880]: {'stabilizer.yaw': 0.004247372504323721, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 280.0, 'hotpatch.context_switches': 16087.0, 'hotpatch.measure_time': 4599742.0}
[3890]: {'stabilizer.yaw': 0.00452624773606658, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 281.0, 'hotpatch.context_switches': 16179.0, 'hotpatch.measure_time': 4626332.0}
[3900]: {'stabilizer.yaw': 0.004600107669830322, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 282.0, 'hotpatch.context_switches': 16275.0, 'hotpatch.measure_time': 4654057.0}
[3910]: {'stabilizer.yaw': 0.004679684527218342, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 283.0, 'hotpatch.context_switches': 16367.0, 'hotpatch.measure_time': 4680624.0}
[3920]: {'stabilizer.yaw': 0.004433281719684601, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 284.0, 'hotpatch.context_switches': 16460.0, 'hotpatch.measure_time': 4707330.0}
[3930]: {'stabilizer.yaw': 0.005795036908239126, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 285.0, 'hotpatch.context_switches': 16551.0, 'hotpatch.measure_time': 4733617.0}
[3940]: {'stabilizer.yaw': 0.00603833980858326, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 286.0, 'hotpatch.context_switches': 16644.0, 'hotpatch.measure_time': 4760478.0}
[3950]: {'stabilizer.yaw': 0.006174462381750345, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 287.0, 'hotpatch.context_switches': 16735.0, 'hotpatch.measure_time': 4786765.0}
[3960]: {'stabilizer.yaw': 0.006683469749987125, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 288.0, 'hotpatch.context_switches': 16828.0, 'hotpatch.measure_time': 4813629.0}
[3970]: {'stabilizer.yaw': 0.006954336538910866, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 289.0, 'hotpatch.context_switches': 16921.0, 'hotpatch.measure_time': 4840478.0}
[3980]: {'stabilizer.yaw': 0.00804191268980503, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 290.0, 'hotpatch.context_switches': 17014.0, 'hotpatch.measure_time': 4867325.0}
[3990]: {'stabilizer.yaw': 0.008235069923102856, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 291.0, 'hotpatch.context_switches': 17105.0, 'hotpatch.measure_time': 4893616.0}
[4000]: {'stabilizer.yaw': 0.008698305115103722, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 292.0, 'hotpatch.context_switches': 17200.0, 'hotpatch.measure_time': 4921020.0}
[4010]: {'stabilizer.yaw': 0.0076291318982839584, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 293.0, 'hotpatch.context_switches': 17292.0, 'hotpatch.measure_time': 4947595.0}
[4020]: {'stabilizer.yaw': 0.008559647016227245, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 294.0, 'hotpatch.context_switches': 17386.0, 'hotpatch.measure_time': 4974746.0}
[4030]: {'stabilizer.yaw': 0.0078103626146912575, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 295.0, 'hotpatch.context_switches': 17477.0, 'hotpatch.measure_time': 5001052.0}
[4040]: {'stabilizer.yaw': 0.008324025198817253, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 296.0, 'hotpatch.context_switches': 17570.0, 'hotpatch.measure_time': 5027915.0}
[4050]: {'stabilizer.yaw': 0.007782616652548313, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 297.0, 'hotpatch.context_switches': 17661.0, 'hotpatch.measure_time': 5054221.0}
[4060]: {'stabilizer.yaw': 0.007006042171269655, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 298.0, 'hotpatch.context_switches': 17754.0, 'hotpatch.measure_time': 5081083.0}
[4070]: {'stabilizer.yaw': 0.006452552974224091, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 299.0, 'hotpatch.context_switches': 17845.0, 'hotpatch.measure_time': 5107389.0}
[4080]: {'stabilizer.yaw': 0.007342576514929533, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 300.0, 'hotpatch.context_switches': 17938.0, 'hotpatch.measure_time': 5134251.0}
[4090]: {'stabilizer.yaw': 0.006800456438213587, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 301.0, 'hotpatch.context_switches': 18029.0, 'hotpatch.measure_time': 5160559.0}
[4100]: {'stabilizer.yaw': 0.007887653075158596, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 302.0, 'hotpatch.context_switches': 18124.0, 'hotpatch.measure_time': 5187979.0}
[4110]: {'stabilizer.yaw': 0.007746889255940914, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 303.0, 'hotpatch.context_switches': 18216.0, 'hotpatch.measure_time': 5214541.0}
[4120]: {'stabilizer.yaw': 0.007295988500118256, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 304.0, 'hotpatch.context_switches': 18309.0, 'hotpatch.measure_time': 5241335.0}
[4130]: {'stabilizer.yaw': 0.007426946423947811, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 305.0, 'hotpatch.context_switches': 18400.0, 'hotpatch.measure_time': 5267577.0}
[4140]: {'stabilizer.yaw': 0.007709138095378876, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 306.0, 'hotpatch.context_switches': 18493.0, 'hotpatch.measure_time': 5294334.0}
[4150]: {'stabilizer.yaw': 0.007609199732542038, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 307.0, 'hotpatch.context_switches': 18584.0, 'hotpatch.measure_time': 5320536.0}
[4160]: {'stabilizer.yaw': 0.008838079869747162, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 308.0, 'hotpatch.context_switches': 18677.0, 'hotpatch.measure_time': 5347293.0}
[4170]: {'stabilizer.yaw': 0.008544964715838432, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 309.0, 'hotpatch.context_switches': 18768.0, 'hotpatch.measure_time': 5373513.0}
[4180]: {'stabilizer.yaw': 0.008823452517390251, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 310.0, 'hotpatch.context_switches': 18861.0, 'hotpatch.measure_time': 5400290.0}
[4190]: {'stabilizer.yaw': 0.009326895698904991, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 311.0, 'hotpatch.context_switches': 18952.0, 'hotpatch.measure_time': 5426508.0}
[4200]: {'stabilizer.yaw': 0.009801415726542473, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 312.0, 'hotpatch.context_switches': 19047.0, 'hotpatch.measure_time': 5453822.0}
[4210]: {'stabilizer.yaw': 0.009605337865650654, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 313.0, 'hotpatch.context_switches': 19139.0, 'hotpatch.measure_time': 5480309.0}
[4220]: {'stabilizer.yaw': 0.009013318456709385, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 314.0, 'hotpatch.context_switches': 19232.0, 'hotpatch.measure_time': 5507082.0}
[4230]: {'stabilizer.yaw': 0.010142906568944454, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 315.0, 'hotpatch.context_switches': 19323.0, 'hotpatch.measure_time': 5533280.0}
[4240]: {'stabilizer.yaw': 0.009088775143027306, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 316.0, 'hotpatch.context_switches': 19416.0, 'hotpatch.measure_time': 5560071.0}
[4250]: {'stabilizer.yaw': 0.0094000780954957, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 317.0, 'hotpatch.context_switches': 19504.0, 'hotpatch.measure_time': 5585548.0}
[4260]: {'stabilizer.yaw': 0.0091894855722785, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 318.0, 'hotpatch.context_switches': 19594.0, 'hotpatch.measure_time': 5611599.0}
[4270]: {'stabilizer.yaw': 0.009159434586763382, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 319.0, 'hotpatch.context_switches': 19682.0, 'hotpatch.measure_time': 5637049.0}
[4280]: {'stabilizer.yaw': 0.009112536907196045, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 320.0, 'hotpatch.context_switches': 19772.0, 'hotpatch.measure_time': 5663054.0}
[4290]: {'stabilizer.yaw': 0.008862767368555069, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 321.0, 'hotpatch.context_switches': 19860.0, 'hotpatch.measure_time': 5688457.0}
