[3158]: {'stabilizer.yaw': 0.003976818174123764, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7458.0, 'hotpatch.measure_time': 2149691.0}
[3168]: {'stabilizer.yaw': 0.00432387413457036, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7644.0, 'hotpatch.measure_time': 2203123.0}
[3178]: {'stabilizer.yaw': 0.004739503841847181, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7826.0, 'hotpatch.measure_time': 2255348.0}
[3188]: {'stabilizer.yaw': 0.005736714694648981, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8017.0, 'hotpatch.measure_time': 2310222.0}
[3198]: {'stabilizer.yaw': 0.005040991120040417, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8212.0, 'hotpatch.measure_time': 2366221.0}
[3208]: {'stabilizer.yaw': 0.00422664312645793, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8408.0, 'hotpatch.measure_time': 2422527.0}
[3218]: {'stabilizer.yaw': 0.005658435169607401, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8603.0, 'hotpatch.measure_time': 2478506.0}
[3228]: {'stabilizer.yaw': 0.006453115027397871, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8800.0, 'hotpatch.measure_time': 2534969.0}
[3238]: {'stabilizer.yaw': 0.007156962528824806, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8991.0, 'hotpatch.measure_time': 2589894.0}
[3248]: {'stabilizer.yaw': 0.007257114164531231, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9188.0, 'hotpatch.measure_time': 2646449.0}
[3258]: {'stabilizer.yaw': 0.007199655286967754, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9373.0, 'hotpatch.measure_time': 2699526.0}
[3268]: {'stabilizer.yaw': 0.006945630069822073, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9570.0, 'hotpatch.measure_time': 2756154.0}
[3278]: {'stabilizer.yaw': 0.007517140358686447, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9761.0, 'hotpatch.measure_time': 2810905.0}
[3288]: {'stabilizer.yaw': 0.007839066907763481, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 9958.0, 'hotpatch.measure_time': 2867205.0}
[3298]: {'stabilizer.yaw': 0.007399508263915777, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10140.0, 'hotpatch.measure_time': 2919278.0}
[3308]: {'stabilizer.yaw': 0.008273561485111713, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10323.0, 'hotpatch.measure_time': 2971684.0}
[3318]: {'stabilizer.yaw': 0.007950136438012123, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 10490.0, 'hotpatch.measure_time': 3019858.0}
[3328]: {'stabilizer.yaw': 0.008241680450737476, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10660.0, 'hotpatch.measure_time': 3068852.0}
[3338]: {'stabilizer.yaw': 0.0078534334897995, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 10827.0, 'hotpatch.measure_time': 3116971.0}
[3348]: {'stabilizer.yaw': 0.007421338930726051, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 10984.0, 'hotpatch.measure_time': 3161518.0}
[3358]: {'stabilizer.yaw': 0.007917300797998905, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 11141.0, 'hotpatch.measure_time': 3206494.0}
[3368]: {'stabilizer.yaw': 0.009240244515240192, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 11284.0, 'hotpatch.measure_time': 3247633.0}
[3378]: {'stabilizer.yaw': 0.00904142390936613, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 231.0, 'hotpatch.context_switches': 11424.0, 'hotpatch.measure_time': 3287958.0}
[3388]: {'stabilizer.yaw': 0.008892208337783813, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 232.0, 'hotpatch.context_switches': 11566.0, 'hotpatch.measure_time': 3328871.0}
[3398]: {'stabilizer.yaw': 0.010025699622929096, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 233.0, 'hotpatch.context_switches': 11707.0, 'hotpatch.measure_time': 3369506.0}
[3408]: {'stabilizer.yaw': 0.011458873748779297, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 11856.0, 'hotpatch.measure_time': 3412438.0}
[3418]: {'stabilizer.yaw': -0.011570963077247143, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 11998.0, 'hotpatch.measure_time': 3453312.0}
[3428]: {'stabilizer.yaw': -0.009114774875342846, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 12146.0, 'hotpatch.measure_time': 3495396.0}
