[3159]: {'stabilizer.yaw': 0.0016193592455238104, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7446.0, 'hotpatch.measure_time': 1905843.0}
[3169]: {'stabilizer.yaw': 0.0015621714992448688, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 7583.0, 'hotpatch.measure_time': 1941153.0}
[3179]: {'stabilizer.yaw': 0.002591902855783701, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 7722.0, 'hotpatch.measure_time': 1976943.0}
[3189]: {'stabilizer.yaw': 0.0015867153415456414, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 7860.0, 'hotpatch.measure_time': 2012449.0}
[3199]: {'stabilizer.yaw': 0.0018389637116342783, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8002.0, 'hotpatch.measure_time': 2048723.0}
[3209]: {'stabilizer.yaw': 0.0020630271174013615, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8141.0, 'hotpatch.measure_time': 2084483.0}
[3219]: {'stabilizer.yaw': 0.0015724718105047941, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8288.0, 'hotpatch.measure_time': 2122318.0}
[3229]: {'stabilizer.yaw': 0.0012985893990844488, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 8448.0, 'hotpatch.measure_time': 2163458.0}
[3239]: {'stabilizer.yaw': 0.0015185615047812462, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 8590.0, 'hotpatch.measure_time': 2199956.0}
[3249]: {'stabilizer.yaw': 0.00038849556585773826, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 8760.0, 'hotpatch.measure_time': 2243694.0}
[3259]: {'stabilizer.yaw': -0.0012126910733059049, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 8906.0, 'hotpatch.measure_time': 2281256.0}
[3269]: {'stabilizer.yaw': -0.0013416629517450929, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9046.0, 'hotpatch.measure_time': 2317043.0}
[3279]: {'stabilizer.yaw': -0.0003848019987344742, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9191.0, 'hotpatch.measure_time': 2354056.0}
[3289]: {'stabilizer.yaw': -5.678204252035357e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 9353.0, 'hotpatch.measure_time': 2395742.0}
[3299]: {'stabilizer.yaw': 0.00015092782268766314, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 9534.0, 'hotpatch.measure_time': 2442056.0}
[3309]: {'stabilizer.yaw': 0.0007932409062050283, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 9685.0, 'hotpatch.measure_time': 2480848.0}
[3319]: {'stabilizer.yaw': 0.0005176833365112543, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 9833.0, 'hotpatch.measure_time': 2518932.0}
[3329]: {'stabilizer.yaw': -9.3565813585883e-06, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 9996.0, 'hotpatch.measure_time': 2560793.0}
[3339]: {'stabilizer.yaw': 0.0004277382977306843, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 10142.0, 'hotpatch.measure_time': 2598325.0}
[3349]: {'stabilizer.yaw': 0.0008813196327537298, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 10297.0, 'hotpatch.measure_time': 2638180.0}
