[3155]: {'stabilizer.yaw': -0.0023912705946713686, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 207.0, 'hotpatch.context_switches': 7445.0, 'hotpatch.measure_time': 1906288.0}
[3165]: {'stabilizer.yaw': -0.0011352377478033304, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 208.0, 'hotpatch.context_switches': 7631.0, 'hotpatch.measure_time': 1953736.0}
[3175]: {'stabilizer.yaw': -0.0006703887484036386, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 209.0, 'hotpatch.context_switches': 7816.0, 'hotpatch.measure_time': 2000904.0}
[3185]: {'stabilizer.yaw': -0.0005593560636043549, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 210.0, 'hotpatch.context_switches': 8005.0, 'hotpatch.measure_time': 2048938.0}
[3195]: {'stabilizer.yaw': -0.0018619783222675323, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 211.0, 'hotpatch.context_switches': 8157.0, 'hotpatch.measure_time': 2087788.0}
[3205]: {'stabilizer.yaw': -0.0022600917145609856, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 212.0, 'hotpatch.context_switches': 8338.0, 'hotpatch.measure_time': 2133732.0}
[3215]: {'stabilizer.yaw': -0.0016765206819400191, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 213.0, 'hotpatch.context_switches': 8539.0, 'hotpatch.measure_time': 2185027.0}
[3225]: {'stabilizer.yaw': -0.0017724874196574092, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 214.0, 'hotpatch.context_switches': 8736.0, 'hotpatch.measure_time': 2235124.0}
[3235]: {'stabilizer.yaw': -0.0008249063394032419, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 215.0, 'hotpatch.context_switches': 8929.0, 'hotpatch.measure_time': 2284416.0}
[3245]: {'stabilizer.yaw': -0.0012324675917625427, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 216.0, 'hotpatch.context_switches': 9116.0, 'hotpatch.measure_time': 2331988.0}
[3255]: {'stabilizer.yaw': -6.274945917539299e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 217.0, 'hotpatch.context_switches': 9291.0, 'hotpatch.measure_time': 2376641.0}
[3265]: {'stabilizer.yaw': -4.7924044338287786e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 218.0, 'hotpatch.context_switches': 9482.0, 'hotpatch.measure_time': 2425396.0}
[3275]: {'stabilizer.yaw': 0.00014204670151229948, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 219.0, 'hotpatch.context_switches': 9668.0, 'hotpatch.measure_time': 2472869.0}
[3285]: {'stabilizer.yaw': -0.0008704921929165721, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 220.0, 'hotpatch.context_switches': 9824.0, 'hotpatch.measure_time': 2512705.0}
[3295]: {'stabilizer.yaw': -0.0004141716635785997, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 221.0, 'hotpatch.context_switches': 9968.0, 'hotpatch.measure_time': 2549511.0}
[3305]: {'stabilizer.yaw': -0.0006009309436194599, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 222.0, 'hotpatch.context_switches': 10132.0, 'hotpatch.measure_time': 2591455.0}
[3315]: {'stabilizer.yaw': -0.00024246149405371398, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 223.0, 'hotpatch.context_switches': 10327.0, 'hotpatch.measure_time': 2641316.0}
[3325]: {'stabilizer.yaw': -0.00017105741426348686, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 224.0, 'hotpatch.context_switches': 10501.0, 'hotpatch.measure_time': 2685547.0}
[3335]: {'stabilizer.yaw': -0.0006597627070732415, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 225.0, 'hotpatch.context_switches': 10648.0, 'hotpatch.measure_time': 2723075.0}
[3345]: {'stabilizer.yaw': -0.0015427389880642295, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 226.0, 'hotpatch.context_switches': 10794.0, 'hotpatch.measure_time': 2760313.0}
[3355]: {'stabilizer.yaw': -0.0032515975181013346, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 227.0, 'hotpatch.context_switches': 10971.0, 'hotpatch.measure_time': 2805446.0}
[3365]: {'stabilizer.yaw': -0.002648678608238697, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 228.0, 'hotpatch.context_switches': 11159.0, 'hotpatch.measure_time': 2853455.0}
[3375]: {'stabilizer.yaw': -0.002507342491298914, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 229.0, 'hotpatch.context_switches': 11345.0, 'hotpatch.measure_time': 2900880.0}
[3385]: {'stabilizer.yaw': -0.0024211863055825233, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 230.0, 'hotpatch.context_switches': 11496.0, 'hotpatch.measure_time': 2939367.0}
[3395]: {'stabilizer.yaw': -0.0026314752176404, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 231.0, 'hotpatch.context_switches': 11654.0, 'hotpatch.measure_time': 2979497.0}
[3405]: {'stabilizer.yaw': -0.002955445321276784, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 232.0, 'hotpatch.context_switches': 11833.0, 'hotpatch.measure_time': 3024954.0}
[3415]: {'stabilizer.yaw': -0.002648949855938554, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 233.0, 'hotpatch.context_switches': 11987.0, 'hotpatch.measure_time': 3064202.0}
[3425]: {'stabilizer.yaw': -0.0020154649391770363, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 234.0, 'hotpatch.context_switches': 12142.0, 'hotpatch.measure_time': 3103607.0}
[3435]: {'stabilizer.yaw': -0.0008554775849916041, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 235.0, 'hotpatch.context_switches': 12325.0, 'hotpatch.measure_time': 3149886.0}
[3445]: {'stabilizer.yaw': -0.0011990271741524339, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 236.0, 'hotpatch.context_switches': 12426.0, 'hotpatch.measure_time': 3175584.0}
[3455]: {'stabilizer.yaw': -0.001811982598155737, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 237.0, 'hotpatch.context_switches': 12515.0, 'hotpatch.measure_time': 3198370.0}
[3465]: {'stabilizer.yaw': -0.0010826020734384656, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 238.0, 'hotpatch.context_switches': 12606.0, 'hotpatch.measure_time': 3221662.0}
[3475]: {'stabilizer.yaw': -0.0017862211680039763, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 239.0, 'hotpatch.context_switches': 12693.0, 'hotpatch.measure_time': 3243895.0}
[3485]: {'stabilizer.yaw': -0.0008333597797900438, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 240.0, 'hotpatch.context_switches': 12782.0, 'hotpatch.measure_time': 3266659.0}
[3495]: {'stabilizer.yaw': -0.00025708923931233585, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 241.0, 'hotpatch.context_switches': 12869.0, 'hotpatch.measure_time': 3288903.0}
[3505]: {'stabilizer.yaw': -0.0007407271768897772, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 242.0, 'hotpatch.context_switches': 12959.0, 'hotpatch.measure_time': 3311911.0}
[3515]: {'stabilizer.yaw': -0.0009199377382174134, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 243.0, 'hotpatch.context_switches': 13046.0, 'hotpatch.measure_time': 3334153.0}
