[3155]: {'stabilizer.yaw': 0.0004052723234053701, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7189.0, 'hotpatch.measure_time': 1339837.0}
[3165]: {'stabilizer.yaw': 0.0010972849559038877, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7327.0, 'hotpatch.measure_time': 1365736.0}
[3175]: {'stabilizer.yaw': 0.0012023304589092731, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7474.0, 'hotpatch.measure_time': 1393285.0}
[3185]: {'stabilizer.yaw': 0.0008263270719908178, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7640.0, 'hotpatch.measure_time': 1424310.0}
[3195]: {'stabilizer.yaw': 0.0003110232064500451, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7800.0, 'hotpatch.measure_time': 1454572.0}
[3205]: {'stabilizer.yaw': 6.230761937331408e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7986.0, 'hotpatch.measure_time': 1489896.0}
[3215]: {'stabilizer.yaw': 0.0006109109963290393, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8157.0, 'hotpatch.measure_time': 1522004.0}
[3225]: {'stabilizer.yaw': 0.0010306246113032103, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8356.0, 'hotpatch.measure_time': 1559397.0}
[3235]: {'stabilizer.yaw': -0.0011818876955658197, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8534.0, 'hotpatch.measure_time': 1593012.0}
[3245]: {'stabilizer.yaw': -0.00081819505430758, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8716.0, 'hotpatch.measure_time': 1627366.0}
[3255]: {'stabilizer.yaw': -0.0015964306658133864, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8911.0, 'hotpatch.measure_time': 1664156.0}
