[3146]: {'stabilizer.yaw': -0.004216523375362158, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7136.0, 'hotpatch.measure_time': 1332835.0}
[3156]: {'stabilizer.yaw': -0.0039088064804673195, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7324.0, 'hotpatch.measure_time': 1368311.0}
[3166]: {'stabilizer.yaw': -0.00270376680418849, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7493.0, 'hotpatch.measure_time': 1400328.0}
[3176]: {'stabilizer.yaw': -0.0015800647670403123, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7661.0, 'hotpatch.measure_time': 1432196.0}
[3186]: {'stabilizer.yaw': -0.0007832125411368906, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 7833.0, 'hotpatch.measure_time': 1464751.0}
[3196]: {'stabilizer.yaw': -0.0005698187160305679, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8017.0, 'hotpatch.measure_time': 1499452.0}
[3206]: {'stabilizer.yaw': -0.0011301516788080335, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8208.0, 'hotpatch.measure_time': 1535212.0}
[3216]: {'stabilizer.yaw': 0.0013313725357875228, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8366.0, 'hotpatch.measure_time': 1564647.0}
[3226]: {'stabilizer.yaw': 0.00032399993506260216, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8550.0, 'hotpatch.measure_time': 1599530.0}
[3236]: {'stabilizer.yaw': 0.0005658887675963342, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8746.0, 'hotpatch.measure_time': 1636686.0}
[3246]: {'stabilizer.yaw': -0.0004610430041793734, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 8943.0, 'hotpatch.measure_time': 1674017.0}
[3256]: {'stabilizer.yaw': 3.242650564061478e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9124.0, 'hotpatch.measure_time': 1708195.0}
[3266]: {'stabilizer.yaw': 3.72708382201381e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9281.0, 'hotpatch.measure_time': 1737465.0}
[3276]: {'stabilizer.yaw': -8.58542844071053e-05, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9455.0, 'hotpatch.measure_time': 1770138.0}
[3286]: {'stabilizer.yaw': 0.0003541213518474251, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9632.0, 'hotpatch.measure_time': 1803162.0}
[3296]: {'stabilizer.yaw': -0.00043267710134387016, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 9817.0, 'hotpatch.measure_time': 1837636.0}
[3306]: {'stabilizer.yaw': 0.00011616155825322494, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10012.0, 'hotpatch.measure_time': 1873976.0}
[3316]: {'stabilizer.yaw': 0.0011285132495686412, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10187.0, 'hotpatch.measure_time': 1906979.0}
[3326]: {'stabilizer.yaw': 0.0009840040002018213, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10376.0, 'hotpatch.measure_time': 1942778.0}
[3336]: {'stabilizer.yaw': 0.0009771985933184624, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10556.0, 'hotpatch.measure_time': 1976680.0}
[3346]: {'stabilizer.yaw': 0.0006173954461701214, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10731.0, 'hotpatch.measure_time': 2009638.0}
[3356]: {'stabilizer.yaw': -0.0006793731590732932, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 10924.0, 'hotpatch.measure_time': 2045948.0}
[3366]: {'stabilizer.yaw': -0.0012213991722092032, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11075.0, 'hotpatch.measure_time': 2074572.0}
[3376]: {'stabilizer.yaw': -0.0017821525689214468, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11225.0, 'hotpatch.measure_time': 2102820.0}
[3386]: {'stabilizer.yaw': -0.002035363344475627, 'hotpatch.patch_go': 0.0, 'hotpatch.tick_active': -1.0, 'hotpatch.prev_manager': 0.0, 'hotpatch.context_switches': 11371.0, 'hotpatch.measure_time': 2130322.0}
